image_id,review_score,stageD_score_0_100,stageD_decision,selection_reason,stageD_flags,thing_fraction,largest_thing_fraction,num_large_thing_instances,person_vehicle_animal_fraction,clear_object_presence
000000016228,64.93453277717475,-1.0,,stageA_plus_geometry,,0.2647628988965106,0.1100096928124068,6,0.23497241276468833,True
000000026926,60.06259542077664,-1.0,,stageA_plus_geometry,,0.366287536359063,0.3440616997696471,3,0.022225836589415873,True
000000022479,58.713934850415065,-1.0,,stageA_plus_geometry,,0.35705547858520265,0.2780838965095414,3,0.2780838965095414,True
000000033109,58.605952576390315,-1.0,,stageA_plus_geometry,,0.15230540275664992,0.14498645433576748,1,0.15230540275664992,True
000000001993,56.802948653200374,-1.0,,stageA_plus_geometry,,0.25377660512755074,0.1706744031556468,4,0.0,True
000000025560,56.74553578900467,-1.0,,stageA_plus_geometry,,0.4183411998107962,0.22438687415564396,4,0.18195213415775377,True
000000029596,56.565106034634894,-1.0,,stageA_plus_geometry,,0.23860587639311043,0.1371306990881459,6,0.0,True
000000034760,56.515604685745984,-1.0,,stageA_plus_geometry,,0.04915103427483105,0.034072608813948184,2,0.0,True
000000003934,56.420970602220116,-1.0,,stageA_plus_geometry,,0.3257919375181915,0.12395701950130979,7,0.252310323081401,True
000000032861,56.17295647664029,-1.0,,stageA_plus_geometry,,0.35786584802324134,0.24707172907617322,2,0.24707172907617322,True
000000005503,56.0559954931356,-1.0,,stageA_plus_geometry,,0.3696964670758003,0.3696964670758003,1,0.0,True
000000009483,56.04467830842376,-1.0,,stageA_plus_geometry,,0.17363870854179503,0.1247858965939787,3,0.1247858965939787,True
000000033854,56.030331914585446,-1.0,,stageA_plus_geometry,,0.36131370745170194,0.15144802207911684,6,0.36131370745170194,True
000000034873,55.85451046006982,-1.0,,stageA_plus_geometry,,0.04910850363264253,0.01238012614598232,6,0.0,True
000000030828,55.82515995147318,-1.0,,stageA_plus_geometry,,0.21891985959507695,0.09173343799523097,4,0.09469556717368445,True
000000029393,55.75622694386651,-1.0,,stageA_plus_geometry,,0.09239730358271978,0.09091298802902185,1,0.09091298802902185,True
000000013201,55.63099679345162,-1.0,,stageA_plus_geometry,,0.13203268948288052,0.11839864025817512,2,0.11839864025817512,True
000000001268,55.39616265658722,-1.0,,stageA_plus_geometry,,0.17508258084720865,0.08497811514342597,7,0.13380334200773986,True
000000024243,55.39394604284617,-1.0,,stageA_plus_geometry,,0.3727154666221782,0.17259246901343486,4,0.1911108057978979,True
000000020571,55.33318247104641,-1.0,,stageA_plus_geometry,,0.2880969737528731,0.21509578269338783,2,0.2877623617235706,True
000000027620,55.15764655694137,-1.0,,stageA_plus_geometry,,0.2859374564119731,0.1956170869050608,5,0.0,True
000000031269,55.14737734133572,-1.0,,stageA_plus_geometry,,0.1708109695417394,0.0870091521607909,3,0.1708109695417394,True
000000001503,55.12352962978989,-1.0,,stageA_plus_geometry,,0.36436037050945047,0.15695018149956189,4,0.0,True
000000030675,54.96524339359777,-1.0,,stageA_plus_geometry,,0.2875173852573018,0.2875173852573018,1,0.2875173852573018,True
000000028993,54.90522461902408,-1.0,,stageA_plus_geometry,,0.24352490858508083,0.14773728271133166,3,0.004752942071142037,True
000000025181,54.894772153075664,-1.0,,stageA_plus_geometry,,0.09831649334642154,0.0952351078669432,1,0.09682192913182426,True
000000005060,54.75566256877263,-1.0,,stageA_plus_geometry,,0.05945792298560369,0.05880248131489625,1,0.05880248131489625,True
000000029397,54.70860272982277,-1.0,,stageA_plus_geometry,,0.4032200657412642,0.30974464194739304,2,0.09347542379387112,True
000000008211,54.26197925781967,-1.0,,stageA_plus_geometry,,0.09901037529091933,0.034818502269470135,3,0.09436365015429203,True
000000033221,54.238308789366656,-1.0,,stageA_plus_geometry,,0.26752147618096295,0.1035518182863854,9,0.22378210832833886,True
000000004495,54.202707678926025,-1.0,,stageA_plus_geometry,,0.33271219008144526,0.23178511926530945,3,0.0,True
000000011197,54.16663855320106,-1.0,,stageA_plus_geometry,,0.05726644324394871,0.01766562102348735,4,0.04901627194801926,True
000000012639,54.12759518716256,-1.0,,stageA_plus_geometry,,0.2055630459583608,0.07102686173682925,7,0.19835999210440916,True
